NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0722126,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3696511,524009,2026-01-08T02:45:43.977000,2026-01-08T03:11:45.753000,2026-01-08T23:04:22.367000,2026-01-09T01:06:46.670000,NAT,Necessary Action Taken,N,4J02,033XX Wall Blvd,70114,4,POINT (-90.02094002 29.93437875)
A0761726,58,RETURN FOR ADDITIONAL INFO,1,58,RETURN FOR ADDITIONAL INFO,0,3686633,535201,2026-01-08T12:29:40.583000,2026-01-09T08:56:13.190000,2026-01-09T09:13:33.663000,2026-01-09T09:14:47.577000,GOA,GONE ON ARRIVAL,N,5B01,007XX St Roch Av,70117,5,POINT (-90.05173 29.96546039)
A0761926,67F,THEFT BY FRAUD,1,67F,THEFT BY FRAUD,1F,3727017,560371,2026-01-08T12:31:04.287000,,2026-01-08T20:15:18.093000,2026-01-09T01:15:21.813000,GOA,GONE ON ARRIVAL,N,7L02,137XX Chef Menteur Hwy,70129,7,POINT (-89.92322431 30.0333654)
A0763926,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3678778,528099,2026-01-08T12:51:13.740000,,2026-01-08T12:51:13.740000,2026-01-08T17:40:44.610000,RTF,REPORT TO FOLLOW,Y,8H03,Loyola Av & Howard Av,70113,8,POINT (-90.07678133 29.94617222)
A0775026,58,RETURN FOR ADDITIONAL INFO,1I,63,PROWLER,2E,3678389,524468,2026-01-08T14:44:45.827000,,2026-01-08T14:44:45.827000,2026-01-08T20:23:47.423000,NAT,Necessary Action Taken,Y,6G01,018XX St Charles Av,70130,6,POINT (-90.07813708 29.93620024)
A0778926,58,RETURN FOR ADDITIONAL INFO,1,58,RETURN FOR ADDITIONAL INFO,0,3686634,535236,2026-01-08T15:17:18.503000,,,2026-01-08T20:27:29.850000,DUP,DUPLICATE,N,5B01,007XX St Roch Av,70117,5,POINT (-90.05172582 29.96555735)
A0787526,35,SIMPLE BATTERY,1F,103,DISTURBANCE (OTHER),1C,3689032,533171,2026-01-08T16:43:42.263000,2026-01-08T19:32:24.997000,2026-01-08T19:40:25.367000,2026-01-08T22:38:51.073000,RTF,REPORT TO FOLLOW,N,5C04,003XX Blk Johnny Jackson Jr Blvd,None,5,POINT (-90.0442257 29.95980506)
A0789226,103D,DOMESTIC DISTURBANCE,1A,103D,DOMESTIC DISTURBANCE,2C,3699067,531772,2026-01-08T17:06:01.230000,2026-01-09T08:32:31.117000,2026-01-09T08:53:27.370000,2026-01-09T08:57:20.100000,RTF,REPORT TO FOLLOW,N,5E04,061XX Royal St,70117,5,POINT (-90.01258881 29.95564403)
A0791126,18A,ABANDONED VEHICLE,1,21,COMPLAINT OTHER,1F,3692377,533624,2026-01-08T17:29:27.740000,2026-01-09T08:57:29.867000,2026-01-09T09:19:03.253000,2026-01-09T09:19:38.140000,GOA,GONE ON ARRIVAL,N,5D01,007XX Lesseps St,70117,5,POINT (-90.03364744 29.96094848)
A0794726,67C,THEFT FROM EXTERIOR OF VEHICLE,1G,62C,SIMPLE BURGLARY VEHICLE,1C,3714990,561371,2026-01-08T18:03:40.387000,,2026-01-08T18:28:57.333000,2026-01-08T20:11:15.090000,RTF,REPORT TO FOLLOW,N,7I05,111XX Winchester Park Dr,70128,7,POINT (-89.96119201 30.03651759)
A0794926,MISC,MISCELLANEOUS COMPLAINT,1,66,EXTORTION (THREATS),1H,3676041,540021,2026-01-08T18:06:19.487000,2026-01-09T10:57:02.210000,2026-01-09T11:01:34.863000,2026-01-09T13:20:14.383000,RTF,REPORT TO FOLLOW,N,1N02,032XX De Soto St,70119,1,POINT (-90.08501432 29.97903629)
A0797226,100,HIT & RUN,1B,20I,AUTO ACCIDENT WITH INJURY,2C,3682234,537715,2026-01-08T18:31:19.843000,2026-01-08T23:43:22.120000,2026-01-08T23:52:12.277000,2026-01-09T01:28:33.867000,RTF,REPORT TO FOLLOW,N,1A01,N Claiborne Av & St Bernard Av,70116,1,POINT (-90.06553517 29.97250928)
A0797626,58,RETURN FOR ADDITIONAL INFO,1,21,COMPLAINT OTHER,1F,3683522,540128,2026-01-08T18:34:52.480000,2026-01-09T08:58:55.393000,2026-01-09T09:23:08.653000,2026-01-09T09:24:41.113000,NAT,Necessary Action Taken,N,5K02,028XX Pauger St,70119,5,POINT (-90.06138189 29.97910317)
A0797826,62C,SIMPLE BURGLARY VEHICLE,1,62C,SIMPLE BURGLARY VEHICLE,1C,3679075,541340,2026-01-08T18:36:48.227000,2026-01-09T10:18:06.553000,2026-01-09T10:23:22.997000,2026-01-09T12:30:41.657000,RTF,REPORT TO FOLLOW,N,1C03,017XX Blk N Dupre St,70119,1,POINT (-90.07538477 29.98257255)
A0798426,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,1F,3696977,556099,2026-01-08T18:41:43.053000,2026-01-08T22:34:12.467000,2026-01-08T22:34:19.760000,2026-01-09T00:10:26.580000,RTF,REPORT TO FOLLOW,N,7D01,067XX Virgilian St,70126,7,POINT (-90.0183065 30.02260207)
A0597026,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3664192,538140,2026-01-06T21:46:03.997000,2026-01-06T21:47:07.017000,2026-01-06T21:56:47.183000,2026-01-07T01:49:06.463000,RTF,REPORT TO FOLLOW,N,3A01,036XX Blk Livingston St,70118,3,POINT (-90.12250193 29.97421278)
A0631626,59,CRIMINAL MISCHIEF,1H,56,SIMPLE CRIMINAL DAMAGE,0,3697797,519509,2026-01-07T07:14:14.877000,,2026-01-07T09:18:01,2026-01-07T10:18:46.047000,RTF,REPORT TO FOLLOW,N,4C02,038XX General De Gaulle Dr,70114,4,POINT (-90.01704396 29.92196491)
A0636126,67,THEFT,1G,67,THEFT,0,3699459,533563,2026-01-07T08:11:42.450000,,2026-01-07T10:07:01.813000,2026-01-07T11:07:46.997000,RTF,REPORT TO FOLLOW,N,5E03,011XX Tupelo St,70117,5,POINT (-90.01128534 29.96055637)
A0656926,58,RETURN FOR ADDITIONAL INFO,1I,21,COMPLAINT OTHER,1J,3692117,537110,2026-01-07T12:06:36.923000,2026-01-08T03:06:15.783000,2026-01-08T03:07:25.397000,2026-01-08T04:41:14.957000,NAT,Necessary Action Taken,N,5D03,039XX N Claiborne Av,70117,5,POINT (-90.0343428 29.97054168)
A0657826,103D,DOMESTIC DISTURBANCE,1A,103D,DOMESTIC DISTURBANCE,1A,3688344,536284,2026-01-07T12:20:11.580000,2026-01-08T01:58:06.130000,2026-01-08T02:01:34.947000,2026-01-08T02:09:23.613000,GOA,GONE ON ARRIVAL,N,5C02,029XX St Claude Av,70117,5,POINT (-90.04628798 29.96838673)
A0660026,35D,SIMPLE BATTERY DOMESTIC,2C,29SA,SUICIDE ATTEMPT,2D,3714114,567542,2026-01-07T12:42:51.737000,2026-01-07T12:49:13.987000,2026-01-07T12:59:46.290000,2026-01-07T16:43:42.727000,RTF,REPORT TO FOLLOW,N,7I14,XX E Blue Ridge Ct,70128,7,POINT (-89.96372632 30.05351334)
A0667226,103,DISTURBANCE (OTHER),1C,103D,DOMESTIC DISTURBANCE,2C,3704521,559580,2026-01-07T14:15:34.247000,2026-01-08T00:02:41.513000,,2026-01-08T00:03:13.243000,NAT,Necessary Action Taken,N,7O09,070XX Crowder Blvd,70127,7,POINT (-89.99434193 30.03193225)
A0671426,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3694748,525229,2026-01-07T15:08:57.167000,,2026-01-07T15:29:51.313000,2026-01-07T19:17:28.757000,RTF,REPORT TO FOLLOW,N,4I03,016XX Elizardi Blvd,70114,4,POINT (-90.02646362 29.93779078)
A0673026,103D,DOMESTIC DISTURBANCE,1A,103D,DOMESTIC DISTURBANCE,1A,3731469,563236,2026-01-07T15:26:18.990000,2026-01-08T00:02:44.520000,2026-01-08T00:12:29.760000,2026-01-08T00:15:08.953000,GOA,GONE ON ARRIVAL,N,7L04,147XX Peltier Dr,70129,7,POINT (-89.90904146 30.0410906)
A0681526,67F,THEFT BY FRAUD,1,67F,THEFT BY FRAUD,1F,3674764,522310,2026-01-07T16:49:46.400000,2026-01-07T22:12:09.257000,2026-01-08T00:05:39.243000,2026-01-08T00:46:21.053000,GOA,GONE ON ARRIVAL,N,6Q05,017XX 8th St,70115,6,POINT (-90.08965585 29.93037477)
A0681726,103D,DOMESTIC DISTURBANCE,1A,103D,DOMESTIC DISTURBANCE,2C,3685041,540496,2026-01-07T16:53:43.857000,2026-01-08T02:35:56.090000,2026-01-08T02:41:22.170000,2026-01-08T02:51:57.143000,GOA,GONE ON ARRIVAL,N,5L01,022XX Marigny St,70117,5,POINT (-90.05657172 29.98007101)
A0683526,103,DISTURBANCE (OTHER),1C,45D,ABDUCTION/CUSTODY DISPUTE DOMESTIC,2F,3710846,554684,2026-01-07T17:16:59.017000,2026-01-08T00:06:11.580000,2026-01-08T00:21:03.080000,2026-01-08T01:13:49.023000,NAT,Necessary Action Taken,N,7H03,045XX Citrus Dr,70127,7,POINT (-89.97453959 30.0182656)
A0683726,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3686739,534969,2026-01-07T17:17:21.877000,2026-01-08T02:09:31.590000,2026-01-08T02:09:37.500000,2026-01-08T02:15:28.400000,GOA,GONE ON ARRIVAL,N,5B01,Franklin Av & Royal St,70117,5,POINT (-90.05140482 29.96482163)
A0687726,103,DISTURBANCE (OTHER),1C,103D,DOMESTIC DISTURBANCE,2C,3725327,562782,2026-01-07T18:04:58.820000,,,2026-01-08T00:02:29.727000,NAT,Necessary Action Taken,N,7L02,134XX N Nemours St,70129,7,POINT (-89.92847077 30.04005211)
A0688226,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3691012,521455,2026-01-07T18:11:36.130000,,,2026-01-07T19:52:31.963000,NAT,Necessary Action Taken,N,4B02,X Westbank Expy,70114,4,POINT (-90.03839302 29.92752896)
A0688726,21,COMPLAINT OTHER,1,93,CRUELITY TO JUVENILE,2C,3673129,528525,2026-01-07T18:15:45.373000,2026-01-08T02:22:18.037000,2026-01-08T02:29:42.470000,2026-01-08T02:35:28.063000,NAT,Necessary Action Taken,N,6K01,034XX 2nd St,70125,6,POINT (-90.09460349 29.94751408)
A0689026,21N,NOISE COMPLAINT,1,103,DISTURBANCE (OTHER),2D,3678607,526387,2026-01-07T18:20:20.570000,2026-01-08T01:26:10.363000,,2026-01-08T01:32:28.220000,GOA,GONE ON ARRIVAL,N,6G03,013XX Baronne St,70113,6,POINT (-90.07738274 29.94147142)
A0689126,35D,SIMPLE BATTERY DOMESTIC,1A,35,SIMPLE BATTERY,1F,3673839,520951,2026-01-07T18:22:08.237000,2026-01-07T23:53:51.017000,2026-01-08T00:02:07.050000,2026-01-08T00:24:39.643000,GOA,GONE ON ARRIVAL,N,6P01,035XX Prytania St,70115,6,POINT (-90.09262048 29.92666731)
A0691526,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1I,21,COMPLAINT OTHER,1J,3677367,536882,2026-01-07T18:53:35.027000,2026-01-07T22:37:48.750000,2026-01-07T22:47:55.910000,2026-01-08T00:04:53.837000,NAT,Necessary Action Taken,N,1J03,St Ann St & N Dorgenois St,70119,1,POINT (-90.08093515 29.97036445)
A0694926,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,1F,3678717,523331,2026-01-07T19:46:54.990000,2026-01-08T02:35:31.923000,2026-01-08T02:47:57.013000,2026-01-08T03:05:42.120000,NAT,Necessary Action Taken,N,6E01,020XX Coliseum St,70130,6,POINT (-90.07714117 29.93306361)
A0695826,103,DISTURBANCE (OTHER),1,103,DISTURBANCE (OTHER),1C,3676291,527468,2026-01-07T19:55:28.870000,2026-01-08T02:19:50.150000,2026-01-08T02:24:53.510000,2026-01-08T02:24:56.407000,GOA,GONE ON ARRIVAL,N,6J04,025XX Martin Luther King Jr Blvd,70113,6,POINT (-90.08465604 29.94451345)
A0699026,35D,SIMPLE BATTERY DOMESTIC,2C,1055F,FIRE UNIT NEEDS ASSISTANCE,2A,3688005,540244,2026-01-07T20:31:04.703000,2026-01-07T20:32:10.320000,2026-01-07T20:34:22.247000,2026-01-08T00:37:16.733000,RTF,REPORT TO FOLLOW,N,5M01,Almonaster Av & N Galvez St,70117,5,POINT (-90.04722009 29.97928504)
A0699326,107,SUSPICIOUS PERSON,1,107,SUSPICIOUS PERSON,2D,3688966,541198,2026-01-07T20:36:15.610000,2026-01-08T02:15:33.023000,2026-01-08T02:21:40.793000,2026-01-08T02:34:46.737000,GOA,GONE ON ARRIVAL,N,5M02,St Ferdinand St & N Rocheblave St,70117,5,POINT (-90.04415131 29.98188012)
A0700226,35,SIMPLE BATTERY,1F,35,SIMPLE BATTERY,1F,3673844,520523,2026-01-07T20:49:10.887000,,,2026-01-07T20:50:14.267000,DUP,DUPLICATE,N,6P01,014XX Foucher St,70115,6,POINT (-90.09261883 29.92548887)
A0700526,103D,DOMESTIC DISTURBANCE,1,103D,DOMESTIC DISTURBANCE,2C,3699861,533229,2026-01-07T20:58:05.703000,2026-01-08T02:52:03.220000,2026-01-08T02:54:54.590000,2026-01-08T03:06:09.477000,GOA,GONE ON ARRIVAL,N,5E03,St Claude Av & St Maurice Av,70117,5,POINT (-90.01003061 29.95962509)
A0701826,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3680460,540912,2026-01-07T21:16:32.570000,2026-01-07T22:07:36.730000,2026-01-07T22:17:30.123000,2026-01-08T00:06:21.263000,NAT,Necessary Action Taken,N,1C02,017XX N Dorgenois St,70119,1,POINT (-90.07102656 29.98135424)
A0703626,103F,FIGHT,1,103F,FIGHT,2C,3692981,539719,2026-01-07T21:37:07.153000,,,2026-01-08T02:54:50.117000,VOI,VOID,N,5H02,022XX Bartholomew St,70117,5,POINT (-90.03152031 29.97768906)
A0704026,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,1J,3661467,530666,2026-01-07T21:40:59.087000,2026-01-08T00:14:39.540000,2026-01-08T00:26:32.983000,2026-01-08T00:40:36.183000,GOA,GONE ON ARRIVAL,N,2K02,086XX Birch St,70118,2,POINT (-90.13135423 29.95374316)
A0704326,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3696081,552730,2026-01-07T21:54:34.163000,,2026-01-07T21:54:34.163000,2026-01-08T00:25:54.943000,NAT,Necessary Action Taken,Y,7A02,042XX Blk Downman Rd,70126,7,POINT (-90.02125965 30.01336529)
A0704726,MISC,MISCELLANEOUS COMPLAINT,1,56,SIMPLE CRIMINAL DAMAGE,0,3681986,540745,2026-01-07T21:59:02.487000,,,2026-01-08T00:09:40.673000,NAT,Necessary Action Taken,N,5K02,023XX New Orleans St,70119,5,POINT (-90.06621192 29.98084783)
A0706026,58,RETURN FOR ADDITIONAL INFO,1I,21,COMPLAINT OTHER,1J,3692117,537110,2026-01-07T22:12:18.543000,2026-01-07T22:52:12.043000,,2026-01-08T00:17:47.573000,NAT,Necessary Action Taken,N,5D03,039XX N Claiborne Av,70117,5,POINT (-90.0343428 29.97054168)
A0706526,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3681869,531481,2026-01-07T22:19:08.773000,,2026-01-07T22:19:08.773000,2026-01-08T00:28:26.490000,NAT,Necessary Action Taken,Y,8C02,003XX Royal St,70130,8,POINT (-90.06690499 29.95537994)
A0706626,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3681869,531481,2026-01-07T22:19:27.347000,,2026-01-07T22:19:27.347000,2026-01-08T00:28:29.557000,NAT,Necessary Action Taken,Y,8C02,003XX Royal St,70130,8,POINT (-90.06690499 29.95537994)
A0706726,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3681869,531481,2026-01-07T22:19:40.767000,,2026-01-07T22:19:40.767000,2026-01-08T00:18:58.083000,DUP,DUPLICATE,Y,8C02,003XX Royal St,70130,8,POINT (-90.06690499 29.95537994)
A0706926,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3683425,556831,2026-01-07T22:21:28.630000,,2026-01-07T22:21:28.630000,2026-01-08T00:29:27.860000,NAT,Necessary Action Taken,Y,3S03,Elysian Fields Av & Leon C Simon Dr,70122,3,POINT (-90.06110291 30.02503451)
A0707826,21P,LOST PROPERTY,0G,21,COMPLAINT OTHER,1J,3682151,529997,2026-01-07T22:30:33.487000,,2026-01-07T22:30:33.487000,2026-01-08T01:21:39.480000,RTF,REPORT TO FOLLOW,Y,8B01,Canal St & N Peters St,70130,8,POINT (-90.06606484 29.95129086)
A0708126,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3696081,552730,2026-01-07T22:34:42.047000,2026-01-07T22:34:42.047000,2026-01-07T22:34:47.907000,2026-01-08T00:16:08.720000,NAT,Necessary Action Taken,N,7A02,042XX Blk Downman Rd,70126,7,POINT (-90.02125965 30.01336529)
A0708626,21,COMPLAINT OTHER,1F,21,COMPLAINT OTHER,1F,3712241,565423,2026-01-07T22:40:15.220000,2026-01-07T23:54:05.610000,,2026-01-08T00:04:24.957000,GOA,GONE ON ARRIVAL,N,7I08,074XX Finchley Rd,70128,7,POINT (-89.96972542 30.04774691)
A0708726,21J,MISSING JUVENILE,1A,21J,MISSING JUVENILE,1C,37369000,3513814,2026-01-07T22:41:34.677000,2026-01-08T01:40:41.543000,2026-01-08T01:46:31.130000,2026-01-08T01:57:59.683000,GOA,GONE ON ARRIVAL,N,5K02,018XX N Tonti St,70119,5,POINT (0 0)
A0709526,21,COMPLAINT OTHER,1J,107,SUSPICIOUS PERSON,2D,3699086,533637,2026-01-07T22:53:18.207000,2026-01-07T23:21:17.550000,2026-01-07T23:21:25.417000,2026-01-08T00:32:09.470000,NAT,Necessary Action Taken,N,5E03,059XX St Claude Av,70117,5,POINT (-90.01246293 29.96077307)
A0710126,21,COMPLAINT OTHER,1J,67,THEFT,1G,3695065,557806,2026-01-07T23:07:40.240000,,2026-01-07T23:53:52.453000,2026-01-08T00:25:09.817000,NAT,Necessary Action Taken,N,7D02,073XX Alabama St,70126,7,POINT (-90.02428854 30.02735474)
A0710226,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668229,543859,2026-01-07T23:11:45.960000,,2026-01-07T23:11:45.960000,2026-01-08T00:00:49.467000,NAT,Necessary Action Taken,Y,3I01,Canal Blvd & Navarre Av,70124,3,POINT (-90.10955829 29.98982029)
A0710326,103M,MENTAL PATIENT,2C,103M,MENTAL PATIENT,2C,37369000,3513814,2026-01-07T23:11:59.280000,2026-01-07T23:38:38.287000,2026-01-07T23:50:32.310000,2026-01-08T01:17:46.823000,NAT,Necessary Action Taken,N,7K04,145XX Tilbury Rd,70128,7,POINT (0 0)
A0710626,103D,DOMESTIC DISTURBANCE,2C,29ST,SUICIDE THREAT,1F,3681685,523520,2026-01-07T23:14:46.267000,2026-01-07T23:17:26.893000,2026-01-07T23:24:22.340000,2026-01-08T00:14:11.157000,RTF,REPORT TO FOLLOW,N,6B04,007XX Race St,70130,6,POINT (-90.06776208 29.93349528)
A0710726,22A,AREA CHECK,1K,MISC,MISCELLANEOUS COMPLAINT,1,3670742,553835,2026-01-07T23:17:24.307000,,2026-01-07T23:17:24.307000,2026-01-08T00:02:19.163000,NAT,Necessary Action Taken,Y,3J03,Argonne Blvd & Walker St,70124,3,POINT (-90.10128173 30.01717707)
A0710826,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3667040,533886,2026-01-07T23:21:21.040000,,2026-01-07T23:21:21.040000,2026-01-08T00:23:43.120000,NAT,Necessary Action Taken,Y,2T03,S Carrollton Av & Forshey St,70118,2,POINT (-90.11364884 29.96243331)
A0710926,94S,SHOTSPOTTER- REPORTED GUNSHOTS,2B,94S,SHOTSPOTTER- REPORTED GUNSHOTS,2B,3682373,542003,2026-01-07T23:21:47.103000,2026-01-08T00:18:02.630000,2026-01-08T00:20:29.337000,2026-01-08T00:36:56.417000,NAT,Necessary Action Taken,N,5K03,Approx Loc:2004 Hope St,70119,5,POINT (-90.06494587 29.98429435)
A0711226,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3673960,538433,2026-01-07T23:24:52.797000,,2026-01-07T23:49:28.980000,2026-01-08T00:22:39.943000,NAT,Necessary Action Taken,N,1M03,Toulouse St & Moss St,70119,1,POINT (-90.09164198 29.97473194)
A0711526,103D,DOMESTIC DISTURBANCE,2C,103,DISTURBANCE (OTHER),2D,3695918,532773,2026-01-07T23:32:03.350000,2026-01-08T00:32:22.433000,2026-01-08T00:41:17.843000,2026-01-08T01:53:37.993000,GOA,GONE ON ARRIVAL,N,5E01,007XX Forstall St,70117,5,POINT (-90.02249737 29.95849671)
A0711626,22A,AREA CHECK,1F,22A,AREA CHECK,1F,3676366,536430,2026-01-07T23:32:33.610000,,2026-01-07T23:32:33.610000,2026-01-08T00:41:43.253000,NAT,Necessary Action Taken,Y,1I03,N Broad St & Lafitte St,70119,1,POINT (-90.08410975 29.96915355)
A0711726,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3670216,548980,2026-01-07T23:35:14.600000,,2026-01-07T23:35:14.600000,2026-01-08T00:11:09.820000,NAT,Necessary Action Taken,Y,3I04,009XX Harrison Av,70124,3,POINT (-90.10310803 30.00384315)
A0711926,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3666577,533374,2026-01-07T23:36:07.647000,,2026-01-07T23:36:07.647000,2026-01-08T00:23:50.483000,NAT,Necessary Action Taken,Y,2T03,S Carrollton A & Earhart Blvd,70118,2,POINT (-90.11512656 29.96103853)
A0712026,62C,SIMPLE BURGLARY VEHICLE,1G,107,SUSPICIOUS PERSON,2D,3706485,519408,2026-01-07T23:37:09.120000,2026-01-07T23:40:45.460000,2026-01-07T23:51:45.897000,2026-01-08T01:31:59.073000,RTF,REPORT TO FOLLOW,N,4E02,002XX Blk Rhodes Av,70131,4,POINT (-89.9896254 29.92141165)
A0712126,29U,UNCLASSIFIED DEATH,1D,21,COMPLAINT OTHER,1J,3674952,523233,2026-01-07T23:37:14.510000,2026-01-07T23:54:23.263000,2026-01-07T23:56:19.197000,2026-01-08T02:51:51.997000,RTF,REPORT TO FOLLOW,N,6Q05,028XX Dryades St,70115,6,POINT (-90.08902985 29.93290794)
A0712226,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3668534,548598,2026-01-07T23:38:26.020000,,2026-01-07T23:38:26.020000,2026-01-08T00:11:33.367000,NAT,Necessary Action Taken,Y,3E02,Canal Blvd & French St,70124,3,POINT (-90.10843301 30.0028426)
A0712326,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3695455,520950,2026-01-07T23:39:34.123000,,2026-01-07T23:39:34.123000,2026-01-08T00:09:26.623000,RTF,REPORT TO FOLLOW,Y,4C02,General De Gaulle Dr & Sandra Dr,70114,4,POINT (-90.02438658 29.9260031)
A0712526,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3675384,520034,2026-01-07T23:46:22.373000,,2026-01-07T23:46:22.373000,2026-01-08T00:17:30.113000,NAT,Necessary Action Taken,Y,6D02,032XX Magazine St,70115,6,POINT (-90.0877744 29.92409829)
A0712726,62A,"BURGLAR ALARM, SILENT",1,62A,"BURGLAR ALARM, SILENT",2C,3686866,527887,2026-01-07T23:48:45.357000,2026-01-07T23:50:17.843000,2026-01-08T00:09:25.630000,2026-01-08T00:20:00.550000,NAT,Necessary Action Taken,N,4A02,004XX Newton St,70114,4,POINT (-90.05125316 29.94534302)
A0712826,103,DISTURBANCE (OTHER),1C,99,RECKLESS DRIVING,2E,3669970,519087,2026-01-07T23:50:57.060000,2026-01-07T23:52:24.917000,2026-01-07T23:54:40.183000,2026-01-08T00:14:35.080000,NAT,Necessary Action Taken,N,2F04,010XX Valence St,70115,2,POINT (-90.10489819 29.92165434)
A0713026,107,SUSPICIOUS PERSON,1,107,SUSPICIOUS PERSON,2C,3696142,517771,2026-01-07T23:56:59.113000,2026-01-08T00:20:05.843000,2026-01-08T00:30:10.287000,2026-01-08T00:35:34.943000,GOA,GONE ON ARRIVAL,N,4C02,033XX Behrman Hwy,70114,4,POINT (-90.02233019 29.9172391)
A0713126,MISC,MISCELLANEOUS COMPLAINT,1,67,THEFT,0,3690422,528081,2026-01-07T23:57:24.537000,,,2026-01-08T00:33:50.910000,NAT,Necessary Action Taken,N,4H01,009XX Wagner St,70114,4,POINT (-90.04001763 29.94576579)
A0713226,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668238,545354,2026-01-08T00:01:26.313000,,2026-01-08T00:01:26.313000,2026-01-08T00:13:34.743000,NAT,Necessary Action Taken,Y,3E01,Florida Blvd & Canal Blvd,70124,3,POINT (-90.10948015 29.99393264)
A0713326,22A,AREA CHECK,1K,MISC,MISCELLANEOUS COMPLAINT,1,3668630,553369,2026-01-08T00:02:56.437000,,2026-01-08T00:02:56.437000,2026-01-08T02:14:45.493000,NAT,Necessary Action Taken,Y,3F02,Louis Xiv St & Mouton St,70124,3,POINT (-90.1079702 30.01595799)
A0713426,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3679023,532126,2026-01-08T00:05:09.900000,,2026-01-08T00:05:09.900000,2026-01-08T00:35:45.617000,NAT,Necessary Action Taken,Y,8J04,015XX Canal St,70112,8,POINT (-90.07586923 29.95723797)
A0713526,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3686931,548849,2026-01-08T00:05:15.517000,,2026-01-08T00:05:15.517000,2026-01-08T01:12:58.513000,NAT,Necessary Action Taken,Y,3T02,Franklin Av & Gentilly Blvd,70122,3,POINT (-90.05030554 30.00297854)
A0713626,21H,HOMELESS,1J,21,COMPLAINT OTHER,1J,3684838,534529,2026-01-08T00:09:43.197000,,2026-01-08T00:09:43.197000,2026-01-08T00:34:28.170000,NAT,Necessary Action Taken,Y,8F01,021XX Chartres St,70116,8,POINT (-90.05742183 29.96366907)
A0713726,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668865,547241,2026-01-08T00:11:50.910000,,2026-01-08T00:11:50.910000,2026-01-08T00:30:18.057000,NAT,Necessary Action Taken,Y,3I04,Polk St & Vicksburg St,70124,3,POINT (-90.10743394 29.99910201)
A0713826,37,AGGRAVATED ASSAULT,2E,66,EXTORTION (THREATS),2F,3692975,523970,2026-01-08T00:12:14.543000,2026-01-08T00:36:41.470000,2026-01-08T00:36:47.757000,2026-01-08T01:17:51.163000,RTF,REPORT TO FOLLOW,N,4I04,Shirley Dr & Copernicus St,70114,4,POINT (-90.03210474 29.93438289)
A0713926,103,DISTURBANCE (OTHER),1C,66,EXTORTION (THREATS),2F,3683259,536472,2026-01-08T00:13:44.287000,2026-01-08T02:35:50.010000,2026-01-08T02:41:32.780000,2026-01-08T03:19:32.717000,NAT,Necessary Action Taken,N,5A01,017XX Marais St,70116,5,POINT (-90.06234252 29.96905877)
A0714026,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3667009,547551,2026-01-08T00:14:14.957000,,2026-01-08T00:14:14.957000,2026-01-08T00:38:53.773000,NAT,Necessary Action Taken,Y,3E02,Milne Blvd & Polk St,70124,3,POINT (-90.11328708 30.00000869)
